rules,support,confidence,coverage,lift,count
"{Bahan Pokok,Bumbu & Rempah} => {Ikan & Seafood}",0.0967741935483871,0.75,0.12903225806451613,5.8125,3
"{Ikan & Seafood} => {Bahan Pokok,Bumbu & Rempah}",0.0967741935483871,0.75,0.12903225806451613,5.8125,3
{Ikan & Seafood} => {Bumbu & Rempah},0.12903225806451613,1.0,0.12903225806451613,4.428571428571429,4
"{Bahan Pokok,Ikan & Seafood} => {Bumbu & Rempah}",0.0967741935483871,1.0,0.0967741935483871,4.428571428571429,3
{Bumbu & Rempah} => {Ikan & Seafood},0.12903225806451613,0.5714285714285714,0.22580645161290322,4.428571428571429,4
{Buah} => {Bumbu & Rempah},0.0967741935483871,0.75,0.12903225806451613,3.3214285714285716,3
"{Minuman,Snack} => {Kantong & Tas}",0.0967741935483871,0.75,0.12903225806451613,2.90625,3
{Mie Instan} => {Frozen Food},0.0967741935483871,0.6,0.16129032258064516,2.657142857142857,3
"{Minuman,Snack} => {Susu & Olahan Susu}",0.0967741935483871,0.75,0.12903225806451613,2.583333333333333,3
{Ikan & Seafood} => {Bahan Pokok},0.0967741935483871,0.75,0.12903225806451613,2.325,3
"{Bumbu & Rempah,Ikan & Seafood} => {Bahan Pokok}",0.0967741935483871,0.75,0.12903225806451613,2.325,3
{Kebersihan Rumah} => {Perawatan Tubuh},0.0967741935483871,0.6,0.16129032258064516,2.0666666666666664,3
"{Kantong & Tas,Minuman} => {Snack}",0.0967741935483871,0.75,0.12903225806451613,1.9375,3
"{Kantong & Tas,Snack} => {Minuman}",0.0967741935483871,0.75,0.12903225806451613,1.9375,3
{Mie Instan} => {Bahan Pokok},0.0967741935483871,0.6,0.16129032258064516,1.8599999999999999,3
{Bumbu & Rempah} => {Bahan Pokok},0.12903225806451613,0.5714285714285714,0.22580645161290322,1.7714285714285714,4
{Sayuran} => {Bahan Pokok},0.12903225806451613,0.5714285714285714,0.22580645161290322,1.7714285714285714,4
{Susu & Olahan Susu} => {Snack},0.1935483870967742,0.6666666666666666,0.2903225806451613,1.722222222222222,6
{Snack} => {Susu & Olahan Susu},0.1935483870967742,0.5,0.3870967741935484,1.722222222222222,6
{Kantong & Tas} => {Perawatan Tubuh},0.12903225806451613,0.5,0.25806451612903225,1.722222222222222,4
{Daging & Olahan} => {Snack},0.0967741935483871,0.6,0.16129032258064516,1.55,3
{Kebersihan Rumah} => {Minuman},0.0967741935483871,0.6,0.16129032258064516,1.55,3
"{Minuman,Susu & Olahan Susu} => {Snack}",0.0967741935483871,0.6,0.16129032258064516,1.55,3
{Susu & Olahan Susu} => {Minuman},0.16129032258064516,0.5555555555555556,0.2903225806451613,1.4351851851851853,5
{Kantong & Tas} => {Snack},0.12903225806451613,0.5,0.25806451612903225,1.2916666666666667,4
{Kantong & Tas} => {Minuman},0.12903225806451613,0.5,0.25806451612903225,1.2916666666666667,4
"{Snack,Susu & Olahan Susu} => {Minuman}",0.0967741935483871,0.5,0.1935483870967742,1.2916666666666667,3
